9/15/2014,SFY2011,OTHER,NULL,24,2,2,0,0
9/15/2014,SFY2011,OTHER,NULL,12,1,1,0,0
9/15/2014,SFY2011,OTHER,Central Office,24,40,40,0,0
9/15/2014,SFY2011,OTHER,Central Office,72,97,97,0,0
9/15/2014,SFY2011,OTHER,Central Office,12,8,8,0,0
9/15/2014,SFY2011,OTHER,Special Invest. Unit Office,24,149,149,0,0
9/15/2014,SFY2011,OTHER,Special Invest. Unit Office,72,512,512,0,0
9/15/2014,SFY2011,OTHER,Special Invest. Unit Office,12,41,41,0,0
9/15/2014,SFY2011,Region 1,Bridgeport Office,24,742,742,0,0
9/15/2014,SFY2011,Region 1,Bridgeport Office,72,1505,1505,0,0
9/15/2014,SFY2011,Region 1,Bridgeport Office,12,372,372,0,0
9/15/2014,SFY2011,Region 1,Norwalk Office,24,211,211,0,0
9/15/2014,SFY2011,Region 1,Norwalk Office,72,444,444,0,0
9/15/2014,SFY2011,Region 1,Norwalk Office,12,76,76,0,0
9/15/2014,SFY2011,Region 1,Stamford Office,24,295,295,0,0
9/15/2014,SFY2011,Region 1,Stamford Office,72,551,551,0,0
9/15/2014,SFY2011,Region 1,Stamford Office,12,115,115,0,0
9/15/2014,SFY2011,Region 2,Milford Office,24,640,640,0,0
9/15/2014,SFY2011,Region 2,Milford Office,72,1397,1397,0,0
9/15/2014,SFY2011,Region 2,Milford Office,12,230,230,0,0
9/15/2014,SFY2011,Region 2,New Haven Office,24,699,699,0,0
9/15/2014,SFY2011,Region 2,New Haven Office,72,1249,1249,0,0
9/15/2014,SFY2011,Region 2,New Haven Office,12,222,222,0,0
9/15/2014,SFY2011,Region 3,Middletown Office,24,268,268,0,0
9/15/2014,SFY2011,Region 3,Middletown Office,72,733,733,0,0
9/15/2014,SFY2011,Region 3,Middletown Office,12,90,90,0,0
9/15/2014,SFY2011,Region 3,Norwich Office,24,668,668,0,0
9/15/2014,SFY2011,Region 3,Norwich Office,72,1509,1509,0,0
9/15/2014,SFY2011,Region 3,Norwich Office,12,201,201,0,0
9/15/2014,SFY2011,Region 3,Willimantic Office,24,461,461,0,0
9/15/2014,SFY2011,Region 3,Willimantic Office,72,1121,1121,0,0
9/15/2014,SFY2011,Region 3,Willimantic Office,12,159,159,0,0
9/15/2014,SFY2011,Region 4,Hartford Office,24,925,925,0,0
9/15/2014,SFY2011,Region 4,Hartford Office,72,1950,1950,0,0
9/15/2014,SFY2011,Region 4,Hartford Office,12,374,374,0,0
9/15/2014,SFY2011,Region 4,Hartford Office,0,1,1,0,0
9/15/2014,SFY2011,Region 4,Manchester Office,24,785,785,0,0
9/15/2014,SFY2011,Region 4,Manchester Office,72,1859,1859,0,0
9/15/2014,SFY2011,Region 4,Manchester Office,12,311,311,0,0
9/15/2014,SFY2011,Region 5,Danbury Office,24,330,330,0,0
9/15/2014,SFY2011,Region 5,Danbury Office,72,731,731,0,0
9/15/2014,SFY2011,Region 5,Danbury Office,12,123,123,0,0
9/15/2014,SFY2011,Region 5,Torrington Office,24,306,306,0,0
9/15/2014,SFY2011,Region 5,Torrington Office,72,710,710,0,0
9/15/2014,SFY2011,Region 5,Torrington Office,12,78,78,0,0
9/15/2014,SFY2011,Region 5,Waterbury Office,24,661,661,0,0
9/15/2014,SFY2011,Region 5,Waterbury Office,72,1457,1457,0,0
9/15/2014,SFY2011,Region 5,Waterbury Office,12,258,258,0,0
9/15/2014,SFY2011,Region 6,Meriden Office,24,356,356,0,0
9/15/2014,SFY2011,Region 6,Meriden Office,72,665,665,0,0
9/15/2014,SFY2011,Region 6,Meriden Office,12,131,131,0,0
9/15/2014,SFY2011,Region 6,Meriden Office,0,1,1,0,0
9/15/2014,SFY2011,Region 6,New Britain Office,24,814,814,0,0
9/15/2014,SFY2011,Region 6,New Britain Office,72,1864,1864,0,0
9/15/2014,SFY2011,Region 6,New Britain Office,12,301,301,0,0
9/15/2014,SFY2012,OTHER,NULL,24,3,3,0,0
9/15/2014,SFY2012,OTHER,NULL,72,2,1,0,1
9/15/2014,SFY2012,OTHER,Central Office,24,50,50,0,0
9/15/2014,SFY2012,OTHER,Central Office,72,111,95,0,16
9/15/2014,SFY2012,OTHER,Central Office,12,8,8,0,0
9/15/2014,SFY2012,OTHER,Special Invest. Unit Office,24,147,147,0,0
9/15/2014,SFY2012,OTHER,Special Invest. Unit Office,72,444,442,0,2
9/15/2014,SFY2012,OTHER,Special Invest. Unit Office,12,36,36,0,0
9/15/2014,SFY2012,Region 1,Bridgeport Office,24,759,759,0,0
9/15/2014,SFY2012,Region 1,Bridgeport Office,72,1586,1277,47,262
9/15/2014,SFY2012,Region 1,Bridgeport Office,12,314,314,0,0
9/15/2014,SFY2012,Region 1,Norwalk Office,24,133,133,0,0
9/15/2014,SFY2012,Region 1,Norwalk Office,72,248,248,0,0
9/15/2014,SFY2012,Region 1,Norwalk Office,12,32,32,0,0
9/15/2014,SFY2012,Region 1,Stamford Office,24,342,342,0,0
9/15/2014,SFY2012,Region 1,Stamford Office,72,722,518,19,185
9/15/2014,SFY2012,Region 1,Stamford Office,12,139,139,0,0
9/15/2014,SFY2012,Region 2,Milford Office,24,676,674,2,0
9/15/2014,SFY2012,Region 2,Milford Office,72,1446,1177,36,233
9/15/2014,SFY2012,Region 2,Milford Office,12,204,204,0,0
9/15/2014,SFY2012,Region 2,New Haven Office,24,671,671,0,0
9/15/2014,SFY2012,Region 2,New Haven Office,72,1143,933,31,179
9/15/2014,SFY2012,Region 2,New Haven Office,12,216,216,0,0
9/15/2014,SFY2012,Region 3,Middletown Office,24,279,279,0,0
9/15/2014,SFY2012,Region 3,Middletown Office,72,781,616,8,157
9/15/2014,SFY2012,Region 3,Middletown Office,12,88,88,0,0
9/15/2014,SFY2012,Region 3,Norwich Office,24,652,652,0,0
